d,alpha,gamma,uniform_cost,adversarial_cost,uniform_regret,adversarial_regret,pareto_segment
1,1.5,0.5,0.34144533313135278,1.0886621079036347,0.03156839764639563,0.15470053837925146,0
1,1.5,0.50160000000000005,0.34119802475916294,1.0869267419087529,0.030821234113994178,0.15285990478501943,0
1,1.5,0.50319999999999998,0.34095382805534408,1.0852043245338565,0.030083471497182934,0.15103300527628516,0
1,1.5,0.50480000000000003,0.34071273076809844,1.0834947988446617,0.029355072781054536,0.14921977946512177,0
1,1.5,0.50639999999999996,0.34047477262237535,1.0817981082637544,0.02863615798189989,0.1474201673421196,0
1,1.5,0.50800000000000001,0.34023992730089597,1.0801141965683152,0.027926647590436726,0.1456341092739728,0
1,1.5,0.50960000000000005,0.34000819454129161,1.0784430078878617,0.02722654081400222,0.14386154600108658,0
1,1.5,0.51119999999999999,0.33977956339011073,1.0767844867020171,0.026535804560228193,0.14210241863520823,0
1,1.5,0.51280000000000003,0.33955402640964916,1.0751385778382991,0.025854416358459309,0.14035666865708318,0
1,1.5,0.51439999999999997,0.33933157860428731,1.0735052264699279,0.025182361116020902,0.13862423791412959,0
1,1.5,0.51600000000000001,0.33911221335132369,1.0718843781136604,0.024519618824528244,0.13690506861814211,0
1,1.5,0.51759999999999995,0.33889592141094221,1.0702759786276437,0.023866161568817823,0.13519910334301288,0
1,1.5,0.51919999999999999,0.33868269722143657,1.0686799742092856,0.023221972545964142,0.13350628502247597,0
1,1.5,0.52080000000000004,0.33847253400156579,1.0670963113931566,0.022587031268606284,0.13182655694787915,0
1,1.5,0.52239999999999998,0.33826542445836827,1.0655249370488973,0.021961315703381779,0.13015986276596658,0
1,1.5,0.52400000000000002,0.33806136406312659,1.0639657983791635,0.02134481216821249,0.12850614647669834,0
1,1.5,0.52559999999999996,0.33786034166718254,1.0624188429175765,0.020737486980975994,0.12686535243107566,0
1,1.5,0.5272,0.33766235446571385,1.0608840185267041,0.020139331667794469,0.12523742532900117,0
1,1.5,0.52880000000000005,0.3374673937474853,1.0593612733960585,0.019550319910443426,0.12362231021715364,0
1,1.5,0.53039999999999998,0.33727545661935798,1.0578505560401097,0.018970442968224477,0.12201995248688213,0
1,1.5,0.53200000000000003,0.33708652874535705,1.0563518152963276,0.018399657529552416,0.120430297872129,0
1,1.5,0.53359999999999996,0.33690061264820353,1.0548650003232349,0.017837971216026149,0.11885329244736353,0
1,1.5,0.53520000000000001,0.33671769720497335,1.0533900605984856,0.017285350423270618,0.11728888262554604,0
1,1.5,0.53679999999999994,0.33653777914293564,1.0519269459169609,0.016741785263771014,0.11573701515610657,0
1,1.5,0.53839999999999999,0.3363608415819368,1.0504756063888827,0.016207224739516413,0.11419763712294428,0
1,1.5,0.54000000000000004,0.336186898115584,1.0490359924379482,0.015681709919263653,0.11267069594244949,0
